#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
1,Bitcoin BTC,"$25,956.69",0.3%,-0.2%,-4.5%,"$11,532,682,415","$503,546,625,958","$545,090,490,000",0.92
2,Ethereum ETH,"$1,757.06",0.2%,-0.3%,-7.5%,"$5,564,644,221","$211,152,125,355","$211,152,125,355",1.00
3,Tether USDT,$1.00,0.0%,-0.1%,0.0%,"$17,275,103,050","$83,465,086,230","$83,465,086,230",1.00
4,BNB BNB,$236.56,0.1%,-1.4%,-22.7%,"$598,362,822","$36,871,792,810","$47,315,448,900",0.78
5,USD Coin USDC,$1.00,0.1%,-0.1%,0.0%,"$2,650,813,647","$28,376,041,111","$28,376,746,088",1.00
6,XRP XRP,$0.520512,0.7%,2.4%,-2.5%,"$922,410,727","$27,024,821,472","$51,983,788,903",0.52
7,Lido Staked Ether STETH,"$1,756.02",0.2%,-0.0%,-7.4%,"$16,621,510","$12,591,996,320","$12,592,081,745",1.00
8,Cardano ADA,$0.269802,0.7%,1.4%,-29.2%,"$583,806,538","$9,462,718,836","$12,150,723,199",0.78
9,Dogecoin DOGE,$0.062206,0.4%,-0.2%,-14.5%,"$357,002,103","$8,686,792,584","$8,686,798,180",1.00
10,TRON TRX,$0.070065,0.7%,0.5%,-14.5%,"$279,480,714","$6,309,793,091","$6,309,793,091",1.00
11,Solana SOL,$15.47,0.2%,-0.4%,-29.9%,"$579,339,450","$6,157,723,361","$8,495,169,730",0.72
12,Polygon MATIC,$0.645255,1.6%,9.0%,-28.4%,"$640,915,841","$5,944,701,703","$6,399,398,780",0.93
13,Litecoin LTC,$78.13,0.2%,0.6%,-18.5%,"$530,150,951","$5,708,335,259","$6,557,366,192",0.87
14,Polkadot DOT,$4.49,-0.0%,-0.2%,-15.7%,"$124,244,617","$5,571,972,007","$5,935,186,412",0.94
15,Binance USD BUSD,$1.00,0.2%,-0.1%,0.0%,"$1,263,855,575","$4,783,600,152","$4,783,600,152",1.00
16,Dai DAI,$0.999939,0.2%,0.2%,0.1%,"$81,495,956","$4,541,598,142","$4,542,226,196",1.00
17,Wrapped Bitcoin WBTC,"$25,954.69",0.3%,-0.1%,-4.7%,"$90,745,289","$4,071,270,263","$4,071,270,263",1.00
18,Avalanche AVAX,$11.66,0.3%,-0.3%,-21.2%,"$155,560,689","$4,020,170,601","$8,392,454,881",0.48
19,Shiba Inu SHIB,$0.00000670,0.4%,-2.0%,-22.5%,"$138,940,178","$3,947,074,281","$6,697,375,065",0.59
20,LEO Token LEO,$3.54,-0.3%,1.5%,-1.3%,"$554,710","$3,303,213,000","$3,498,908,721",0.94
21,Uniswap UNI,$4.08,0.3%,-0.4%,-18.8%,"$43,819,204","$3,073,509,027","$4,077,533,753",0.75
22,Chainlink LINK,$5.19,0.3%,1.2%,-20.1%,"$189,602,977","$2,681,737,505","$5,186,110,335",0.52
23,Monero XMR,$136.45,0.2%,-1.7%,-8.7%,"$42,731,808","$2,477,291,497",-,-
24,Cosmos Hub ATOM,$8.39,1.2%,3.3%,-21.9%,"$82,883,396","$2,449,626,363",-,-
25,OKB OKB,$40.42,-0.3%,-3.4%,-11.8%,"$8,377,445","$2,426,414,767","$12,132,073,834",0.20
26,Stellar XLM,$0.083676,1.0%,2.6%,-9.3%,"$50,118,974","$2,248,076,644","$4,180,507,121",0.54
27,Toncoin TON,$1.49,0.3%,-3.6%,-14.8%,"$5,629,105","$2,190,108,815","$7,516,449,071",0.29
28,Ethereum Classic ETC,$15.16,0.4%,1.3%,-17.0%,"$88,107,164","$2,142,831,288","$3,192,984,910",0.67
29,TrueUSD TUSD,$0.998838,-0.0%,0.4%,-0.1%,"$1,456,633,565","$2,040,012,524","$2,040,012,524",1.00
30,Bitcoin Cash BCH,$102.97,0.1%,-0.1%,-11.5%,"$61,243,013","$2,001,379,523","$2,164,574,957",0.92
31,Internet Computer ICP,$3.70,0.2%,-2.5%,-23.1%,"$23,413,350","$1,614,554,873","$1,735,482,923",0.93
32,Lido DAO LDO,$1.82,2.9%,-2.2%,-20.2%,"$54,558,611","$1,601,161,878","$1,820,356,234",0.88
33,Quant QNT,$102.40,0.3%,-2.3%,-12.5%,"$16,383,709","$1,488,960,446","$1,495,954,384",1.00
34,Filecoin FIL,$3.41,0.2%,-2.6%,-28.6%,"$118,718,470","$1,461,025,303","$6,682,961,188",0.22
35,Cronos CRO,$0.055060,-0.0%,4.9%,-10.6%,"$7,632,546","$1,438,463,745","$1,653,175,745",0.87
36,Hedera HBAR,$0.04399692,0.2%,-2.3%,-13.2%,"$27,516,707","$1,392,218,723","$2,200,969,296",0.63
37,Arbitrum ARB,$0.997631,-0.2%,-0.5%,-18.1%,"$200,427,715","$1,270,448,635","$9,964,303,020",0.13
38,Aptos APT,$6.06,1.2%,1.1%,-35.0%,"$64,631,879","$1,218,218,807","$6,301,347,500",0.19
39,VeChain VET,$0.01563194,0.1%,1.9%,-21.9%,"$45,483,836","$1,137,603,960","$1,356,601,689",0.84
40,NEAR Protocol NEAR,$1.21,0.2%,-0.4%,-26.1%,"$61,141,128","$1,104,409,202","$1,206,750,588",0.92
41,Pax Dollar USDP,$0.998406,-0.0%,-0.1%,-0.1%,"$1,581,986","$1,005,632,523","$1,005,632,523",1.00
42,Frax FRAX,$1.00,0.1%,0.1%,0.1%,"$6,412,058","$1,005,556,833","$1,005,556,833",1.00
43,BSCEX BSCX,$237.67,0.1%,0.5%,13602.2%,"$1,332,659","$907,104,319","$2,226,119,800",0.41
44,The Graph GRT,$0.099867,-0.3%,-0.9%,-21.2%,"$43,993,902","$899,579,501","$998,633,781",0.90
45,ApeCoin APE,$2.38,0.6%,3.9%,-24.7%,"$108,261,093","$876,366,391","$2,377,594,279",0.37
46,Rocket Pool RPL,$44.30,0.3%,0.1%,-11.3%,"$3,187,046","$863,201,873","$863,201,873",1.00
47,Rocket Pool ETH RETH,"$1,886.69",0.1%,-0.1%,-7.5%,"$3,227,389","$831,946,233","$831,951,838",1.00
48,Algorand ALGO,$0.111119,0.5%,-1.1%,-27.2%,"$41,458,786","$805,525,301","$1,111,166,335",0.72
49,MultiversX EGLD,$30.22,0.4%,-0.7%,-20.9%,"$12,041,502","$772,426,076","$949,897,944",0.81
50,Stacks STX,$0.554800,0.2%,-3.0%,-10.3%,"$42,961,337","$766,729,659","$1,007,293,109",0.76
51,Aave AAVE,$52.74,0.4%,0.2%,-16.4%,"$47,305,459","$760,951,311","$844,007,660",0.90
52,EOS EOS,$0.688383,0.3%,-1.3%,-25.3%,"$160,559,235","$759,785,378",-,-
53,USDD USDD,$0.998825,0.1%,0.2%,-0.1%,"$22,847,885","$743,372,728",-,-
54,The Sandbox SAND,$0.389184,0.8%,0.8%,-32.3%,"$115,610,169","$720,236,955","$1,165,694,829",0.62
55,Render RNDR,$1.94,0.1%,-0.4%,-27.4%,"$71,301,041","$710,099,411","$1,029,186,980",0.69
56,Optimism OP,$1.09,0.7%,-1.9%,-27.2%,"$101,890,266","$700,583,328","$4,668,021,778",0.15
57,Fantom FTM,$0.241518,0.6%,-0.1%,-24.5%,"$96,589,925","$674,025,573","$766,115,641",0.88
58,WhiteBIT Token WBT,$4.67,-0.0%,-0.7%,-4.8%,"$5,092,255","$673,465,845","$1,869,200,042",0.36
59,Tezos XTZ,$0.721453,0.3%,-0.5%,-21.2%,"$16,541,581","$672,910,705",-,-
60,Bitget Token BGB,$0.477868,0.0%,2.4%,1.6%,"$18,844,926","$669,576,652","$956,537,391",0.70
61,Theta Network THETA,$0.656923,0.3%,0.4%,-22.0%,"$10,482,943","$655,759,036","$655,759,036",1.00
62,Radix XRD,$0.064198,-0.1%,3.5%,-4.8%,"$1,819,458","$654,678,592","$1,542,061,296",0.42
63,Decentraland MANA,$0.342489,0.3%,-1.3%,-30.9%,"$57,210,096","$624,040,149","$750,205,926",0.83
64,BitDAO BIT,$0.427804,0.2%,0.9%,-13.6%,"$2,091,124","$622,092,728","$4,111,989,641",0.15
65,ImmutableX IMX,$0.607338,0.8%,-0.3%,-26.8%,"$17,783,653","$606,031,486","$1,213,418,570",0.50
66,KuCoin KCS,$5.92,0.1%,-4.8%,-20.3%,"$2,999,694","$574,131,959","$855,762,462",0.67
67,Curve DAO CRV,$0.672549,0.1%,0.3%,-21.9%,"$44,402,499","$572,934,154","$2,221,909,350",0.26
68,Axie Infinity AXS,$4.95,0.7%,-0.8%,-30.9%,"$41,527,593","$572,421,493","$1,336,261,349",0.43
69,Gemini Dollar GUSD,$1.00,0.2%,-0.1%,0.4%,"$2,180,204","$571,915,721","$571,915,721",1.00
70,Synthetix Network SNX,$1.79,0.9%,1.0%,-23.9%,"$23,769,327","$570,400,278","$571,695,187",1.00
71,Gate GT,$4.07,-0.0%,2.7%,-5.0%,"$565,799","$565,798,966","$1,220,982,784",0.46
72,Maker MKR,$614.88,-0.8%,-2.8%,-11.4%,"$22,008,539","$554,006,145","$618,095,052",0.90
73,NEO NEO,$7.72,0.1%,1.1%,-26.1%,"$23,777,905","$544,527,514","$772,050,920",0.71
74,Flow FLOW,$0.511631,0.5%,-0.9%,-30.1%,"$18,823,904","$528,815,873","$734,146,626",0.72
75,Terra Luna Classic LUNC,$0.00009001,-0.0%,2.0%,-17.1%,"$38,334,149","$527,952,948","$618,629,880",0.85
76,GALA GALA,$0.02134434,0.2%,0.5%,-28.1%,"$65,160,306","$512,871,476","$1,066,197,769",0.48
77,BitTorrent BTT,$0.000000537765,-0.7%,1.4%,-9.6%,"$15,503,762","$511,520,963","$532,262,136",0.96
78,Bitcoin SV BSV,$25.73,-0.1%,-2.2%,-22.4%,"$27,003,845","$496,149,116","$540,801,930",0.92
79,PAX Gold PAXG,"$1,913.57",-0.0%,-0.9%,-1.6%,"$6,607,441","$494,205,499","$494,205,499",1.00
80,Tether Gold XAUT,"$1,959.37",0.0%,0.0%,0.4%,"$6,491,333","$483,456,762","$483,456,762",1.00
81,Klaytn KLAY,$0.154647,0.5%,3.6%,-17.0%,"$15,899,669","$478,776,449",-,-
82,XDC Network XDC,$0.03409867,-0.1%,-0.3%,-2.7%,"$1,833,518","$472,454,776","$1,291,612,727",0.37
83,Casper Network CSPR,$0.04193672,1.4%,0.4%,-10.6%,"$3,078,696","$466,491,769","$495,297,549",0.94
84,Kava KAVA,$0.819819,-0.0%,2.0%,-18.5%,"$16,306,845","$463,633,164","$463,645,301",1.00
85,cETH CETH,$35.26,0.0%,-1.0%,-8.4%,$106,"$460,423,401","$460,423,419",1.00
86,Tokenize Xchange TKX,$5.69,0.1%,-0.1%,-11.6%,"$6,759,247","$454,407,680","$568,038,003",0.80
87,Injective INJ,$5.59,0.4%,-4.0%,-29.1%,"$46,169,355","$447,175,784","$558,930,916",0.80
88,IOTA MIOTA,$0.156846,0.2%,-0.4%,-24.3%,"$9,458,007","$435,900,702","$435,900,702",1.00
89,Huobi HT,$2.65,0.1%,0.9%,-11.4%,"$15,861,148","$429,707,935","$539,940,210",0.80
90,eCash XEC,$0.00002071,0.6%,1.9%,-16.6%,"$2,709,829","$401,342,674","$434,170,800",0.92
91,Frax Ether FRXETH,"$1,754.77",0.1%,-0.2%,-7.5%,"$1,757,198","$395,450,253","$395,450,253",1.00
92,cUSDC CUSDC,$0.02295134,0.1%,-0.1%,0.1%,$8.87,"$395,921,553","$395,921,553",1.00
