#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
1,Bitcoin BTC,"$26,020.71",0.4%,0.1%,-4.3%,"$9,115,214,382","$504,513,291,243","$546,136,907,604",0.92
2,Ethereum ETH,"$1,761.00",0.5%,0.3%,-7.2%,"$5,752,398,563","$211,718,907,683","$211,718,907,683",1.00
3,Tether USDT,$1.00,0.0%,0.3%,0.1%,"$11,091,045,483","$83,475,340,513","$83,475,340,513",1.00
4,BNB BNB,$236.84,0.2%,-1.6%,-22.6%,"$592,830,811","$36,896,620,531","$47,347,308,885",0.78
5,USD Coin USDC,$1.00,0.0%,0.4%,0.1%,"$2,747,386,278","$28,403,273,148","$28,403,978,802",1.00
6,XRP XRP,$0.520766,0.8%,3.7%,-2.5%,"$945,248,714","$27,063,417,704","$52,058,030,962",0.52
7,Lido Staked Ether STETH,"$1,756.91",0.3%,-0.1%,-7.4%,"$16,458,072","$12,589,660,947","$12,589,660,947",1.00
8,Cardano ADA,$0.271116,1.1%,1.9%,-28.8%,"$594,651,864","$9,498,679,111","$12,196,898,443",0.78
9,Dogecoin DOGE,$0.062330879401,0.4%,0.0%,-14.4%,"$370,498,451","$8,703,287,900","$8,703,293,505",1.00
10,TRON TRX,$0.070066816026,0.8%,0.7%,-14.5%,"$280,874,273","$6,311,984,367","$6,311,984,367",1.00
11,Solana SOL,$15.54,0.7%,-0.6%,-29.6%,"$597,258,725","$6,190,270,108","$8,540,071,088",0.72
12,Polygon MATIC,$0.640837,1.8%,7.5%,-28.8%,"$620,329,180","$5,952,117,515","$6,407,381,811",0.93
13,Litecoin LTC,$78.26,0.2%,0.7%,-18.3%,"$556,716,642","$5,719,437,242","$6,570,119,432",0.87
14,Polkadot DOT,$4.50,0.3%,-0.3%,-15.6%,"$127,088,623","$5,582,654,655","$5,946,565,419",0.94
15,Binance USD BUSD,$1.00,0.4%,0.6%,0.4%,"$787,627,210","$4,800,063,958","$4,800,063,958",1.00
16,Dai DAI,$1.00,-0.0%,0.1%,0.1%,"$83,803,692","$4,544,184,954","$4,544,184,954",1.00
17,Wrapped Bitcoin WBTC,"$26,021.82",0.5%,0.6%,-4.4%,"$92,260,600","$4,078,754,890","$4,078,754,890",1.00
18,Avalanche AVAX,$11.67,0.3%,-0.4%,-21.1%,"$162,179,499","$4,024,987,746","$8,402,511,089",0.48
19,Shiba Inu SHIB,$0.000006719508,0.7%,-1.1%,-22.3%,"$144,104,025","$3,959,978,754","$6,719,271,309",0.59
20,LEO Token LEO,$3.55,-0.1%,0.8%,-1.2%,"$557,625","$3,298,154,590","$3,493,550,631",0.94
21,Uniswap UNI,$4.08,0.5%,0.0%,-18.7%,"$45,945,639","$3,077,313,442","$4,082,580,958",0.75
22,Chainlink LINK,$5.20,0.5%,1.4%,-20.0%,"$194,109,816","$2,687,035,453","$5,196,355,836",0.52
23,Monero XMR,$136.86,0.3%,-1.0%,-8.4%,"$43,176,648","$2,482,186,803",-,-
24,Cosmos Hub ATOM,$8.36,1.1%,3.2%,-22.2%,"$84,612,799","$2,444,504,823",-,-
25,OKB OKB,$40.47,-0.0%,-3.4%,-11.7%,"$8,698,922","$2,427,148,833","$12,135,744,163",0.20
26,Stellar XLM,$0.083651139559,0.9%,3.5%,-9.4%,"$50,871,876","$2,248,340,334","$4,180,997,477",0.54
27,Toncoin TON,$1.49,0.3%,-3.0%,-14.7%,"$5,838,736","$2,191,467,028","$7,521,110,455",0.29
28,Ethereum Classic ETC,$15.18,0.2%,1.5%,-16.9%,"$89,849,090","$2,146,165,335","$3,197,952,899",0.67
29,TrueUSD TUSD,$1.00,-0.1%,0.5%,0.1%,"$1,486,423,604","$2,041,718,935","$2,041,718,935",1.00
30,Bitcoin Cash BCH,$103.17,0.3%,0.4%,-11.4%,"$61,924,331","$2,002,261,406","$2,165,528,750",0.92
31,Internet Computer ICP,$3.71,0.4%,-2.0%,-22.8%,"$23,965,158","$1,618,723,254","$1,739,963,510",0.93
32,Lido DAO LDO,$1.82,2.3%,-1.6%,-20.1%,"$53,711,126","$1,602,661,669","$1,822,061,343",0.88
33,Quant QNT,$102.47,0.3%,-2.6%,-12.4%,"$17,413,074","$1,489,513,837","$1,496,510,375",1.00
